,POPULARITY,BUCKET,TOTAL_SELL,LIKE_,REVIEW,PRICE,FIRST_PAGE
36861,1.0,1.0,1.0,0.0,8.0,2.0,0
36863,1.0,2.0,1.0,2.0,3.0,1.0,0
36864,2.0,2.0,4.0,1.0,8.0,5.0,0
36866,4.0,1.0,0.0,1.0,7.0,3.0,0
36869,3.0,2.0,1.0,2.0,5.0,4.0,0
36880,1.0,1.0,2.0,0.0,4.0,2.0,0
36882,3.0,1.0,1.0,0.0,0.0,4.0,0
36883,3.0,3.0,5.0,3.0,5.0,2.0,0
36886,2.0,2.0,2.0,2.0,0.0,4.0,0
36887,1.0,1.0,4.0,0.0,3.0,4.0,0
36888,2.0,3.0,3.0,2.0,5.0,2.0,0
36889,2.0,3.0,5.0,3.0,5.0,4.0,0
36890,1.0,1.0,1.0,0.0,3.0,2.0,0
36891,3.0,1.0,2.0,1.0,3.0,4.0,0
36892,4.0,5.0,5.0,5.0,3.0,3.0,0
36894,1.0,3.0,3.0,4.0,4.0,2.0,0
36897,1.0,5.0,5.0,5.0,5.0,2.0,0
36898,2.0,2.0,3.0,2.0,5.0,3.0,0
36902,0.0,4.0,5.0,4.0,4.0,3.0,0
36908,3.0,3.0,5.0,3.0,7.0,2.0,0
36909,4.0,5.0,4.0,5.0,5.0,7.0,0
36910,1.0,1.0,2.0,0.0,4.0,1.0,0
36913,3.0,5.0,3.0,5.0,4.0,4.0,0
36914,3.0,2.0,5.0,2.0,6.0,1.0,0
36923,3.0,3.0,3.0,4.0,8.0,3.0,0
36924,4.0,2.0,2.0,2.0,0.0,3.0,0
36925,3.0,2.0,3.0,2.0,6.0,2.0,0
36926,4.0,5.0,6.0,5.0,4.0,4.0,0
36927,2.0,2.0,5.0,2.0,5.0,2.0,0
36928,2.0,5.0,6.0,5.0,5.0,4.0,0
36930,4.0,3.0,3.0,3.0,0.0,2.0,0
36931,2.0,1.0,1.0,0.0,0.0,4.0,0
36932,2.0,1.0,4.0,1.0,4.0,1.0,0
36934,4.0,6.0,5.0,6.0,4.0,5.0,0
36935,4.0,1.0,1.0,1.0,0.0,2.0,0
36936,3.0,4.0,5.0,4.0,4.0,4.0,0
36937,5.0,3.0,2.0,2.0,0.0,2.0,0
36939,2.0,2.0,1.0,2.0,3.0,3.0,0
36942,3.0,1.0,0.0,0.0,5.0,4.0,0
36943,2.0,5.0,5.0,5.0,3.0,3.0,0
36951,3.0,5.0,4.0,5.0,6.0,4.0,0
36953,2.0,1.0,3.0,1.0,6.0,2.0,0
36954,6.0,6.0,6.0,6.0,6.0,5.0,0
36955,2.0,2.0,4.0,1.0,7.0,3.0,0
36957,2.0,4.0,4.0,4.0,3.0,5.0,0
36961,3.0,5.0,5.0,5.0,5.0,3.0,0
36962,4.0,3.0,5.0,3.0,4.0,4.0,0
36963,3.0,2.0,0.0,2.0,0.0,2.0,0
36964,4.0,1.0,1.0,1.0,8.0,5.0,0
36965,4.0,4.0,2.0,4.0,0.0,2.0,0
36966,1.0,2.0,4.0,2.0,4.0,2.0,0
36967,2.0,1.0,2.0,0.0,5.0,4.0,0
36968,2.0,1.0,1.0,0.0,0.0,5.0,0
36969,2.0,5.0,5.0,5.0,5.0,5.0,0
36970,1.0,2.0,4.0,2.0,5.0,2.0,0
36971,0.0,3.0,3.0,4.0,4.0,4.0,0
36972,4.0,4.0,4.0,5.0,4.0,4.0,0
36974,0.0,3.0,2.0,4.0,4.0,1.0,0
36975,1.0,3.0,3.0,4.0,6.0,3.0,0
36976,2.0,5.0,5.0,5.0,6.0,2.0,0
36978,1.0,5.0,6.0,5.0,5.0,2.0,0
36981,3.0,4.0,6.0,4.0,6.0,3.0,0
36982,3.0,1.0,1.0,0.0,8.0,3.0,0
36983,1.0,0.0,1.0,0.0,0.0,1.0,0
36984,1.0,1.0,2.0,0.0,4.0,4.0,0
36988,3.0,1.0,0.0,1.0,4.0,3.0,0
36989,4.0,4.0,4.0,3.0,6.0,4.0,0
36993,1.0,1.0,1.0,0.0,0.0,4.0,0
36996,2.0,3.0,1.0,3.0,4.0,3.0,0
36999,1.0,5.0,3.0,5.0,8.0,4.0,0
37003,0.0,1.0,1.0,1.0,0.0,3.0,0
37004,3.0,2.0,1.0,1.0,3.0,2.0,0
37008,1.0,5.0,5.0,5.0,6.0,4.0,0
37010,2.0,3.0,3.0,3.0,7.0,3.0,0
37011,2.0,1.0,2.0,0.0,0.0,1.0,0
37013,1.0,1.0,1.0,1.0,0.0,2.0,0
37014,1.0,1.0,1.0,0.0,0.0,4.0,0
37020,1.0,1.0,2.0,1.0,0.0,3.0,0
37023,1.0,2.0,4.0,2.0,4.0,3.0,0
37024,1.0,1.0,2.0,0.0,0.0,4.0,0
37025,2.0,3.0,5.0,3.0,3.0,4.0,0
37027,1.0,1.0,4.0,1.0,5.0,1.0,0
37030,1.0,3.0,2.0,3.0,6.0,3.0,0
37031,3.0,1.0,3.0,1.0,3.0,4.0,0
37034,3.0,4.0,3.0,5.0,0.0,2.0,0
37036,2.0,1.0,2.0,1.0,5.0,2.0,0
37043,2.0,3.0,5.0,3.0,8.0,4.0,0
37045,0.0,1.0,2.0,1.0,0.0,4.0,0
37048,1.0,1.0,3.0,1.0,6.0,3.0,0
37055,0.0,1.0,3.0,0.0,4.0,2.0,0
37058,1.0,4.0,4.0,4.0,4.0,4.0,0
37063,1.0,2.0,5.0,2.0,6.0,2.0,0
37064,1.0,1.0,3.0,1.0,3.0,4.0,0
37065,2.0,3.0,5.0,3.0,5.0,2.0,0
37066,3.0,5.0,4.0,5.0,5.0,4.0,0
37071,3.0,1.0,3.0,1.0,6.0,4.0,0
37075,1.0,1.0,2.0,1.0,0.0,2.0,0
37078,4.0,3.0,3.0,3.0,0.0,2.0,0
37079,1.0,3.0,5.0,3.0,6.0,2.0,0
37080,3.0,4.0,3.0,4.0,0.0,3.0,0
37081,3.0,1.0,1.0,1.0,0.0,4.0,0
37082,1.0,1.0,1.0,1.0,4.0,3.0,0
37083,1.0,1.0,1.0,1.0,3.0,2.0,0
37085,1.0,2.0,2.0,3.0,4.0,4.0,0
37087,3.0,4.0,4.0,4.0,4.0,6.0,0
37088,4.0,1.0,1.0,0.0,0.0,4.0,0
37090,3.0,2.0,4.0,1.0,6.0,4.0,0
37092,2.0,1.0,1.0,1.0,4.0,3.0,0
37094,1.0,1.0,2.0,1.0,3.0,1.0,0
37095,1.0,2.0,3.0,1.0,6.0,3.0,0
37097,1.0,1.0,2.0,1.0,6.0,1.0,0
37098,1.0,4.0,2.0,5.0,4.0,2.0,0
37099,1.0,4.0,3.0,4.0,4.0,2.0,0
37100,3.0,4.0,4.0,4.0,7.0,2.0,0
37102,2.0,4.0,5.0,4.0,6.0,4.0,0
37106,1.0,5.0,5.0,5.0,4.0,4.0,0
37107,2.0,4.0,5.0,5.0,4.0,4.0,0
37108,2.0,5.0,5.0,5.0,3.0,4.0,0
37109,4.0,6.0,6.0,6.0,5.0,3.0,0
37110,1.0,5.0,3.0,5.0,3.0,3.0,0
37111,1.0,1.0,3.0,2.0,3.0,5.0,0
37112,1.0,1.0,1.0,0.0,3.0,4.0,0
37114,1.0,1.0,1.0,0.0,4.0,2.0,0
37116,1.0,1.0,0.0,1.0,0.0,3.0,0
37122,2.0,3.0,0.0,3.0,3.0,1.0,0
37133,1.0,2.0,4.0,2.0,3.0,2.0,0
37137,6.0,3.0,4.0,1.0,8.0,3.0,0
37139,2.0,4.0,5.0,4.0,6.0,4.0,0
37140,2.0,1.0,2.0,1.0,0.0,4.0,0
37141,2.0,2.0,4.0,2.0,5.0,4.0,0
37143,2.0,4.0,5.0,4.0,5.0,3.0,0
37146,2.0,2.0,1.0,2.0,4.0,4.0,0
37147,0.0,1.0,2.0,0.0,4.0,3.0,0
37152,1.0,1.0,3.0,2.0,4.0,4.0,0
37153,2.0,2.0,2.0,3.0,5.0,2.0,0
37154,2.0,2.0,4.0,2.0,5.0,4.0,0
37155,2.0,4.0,3.0,5.0,3.0,3.0,0
37156,1.0,1.0,1.0,1.0,5.0,2.0,0
37157,2.0,0.0,0.0,0.0,0.0,1.0,0
37158,5.0,5.0,4.0,5.0,6.0,3.0,0
37160,2.0,1.0,1.0,1.0,0.0,4.0,0
37164,2.0,3.0,3.0,3.0,3.0,4.0,0
37166,3.0,1.0,2.0,1.0,6.0,4.0,0
37168,0.0,1.0,1.0,1.0,4.0,4.0,0
37169,0.0,2.0,3.0,2.0,4.0,2.0,0
37174,2.0,3.0,3.0,4.0,4.0,4.0,0
37180,1.0,1.0,2.0,1.0,6.0,1.0,0
37184,2.0,3.0,4.0,3.0,6.0,4.0,0
